sub-issues,total_complaints,dispute_rate,timely_response_rate
Information belongs to someone else,50084,0,0.998203019
Reporting company used your report improperly,35372,0,0.997455615
Their investigation did not fix an error on your report,27416,0,0.997410271
Account information incorrect,13145,0,0.994522632
Account status incorrect,12938,0,0.994898748
Credit inquiries on your report that you don't recognize,10767,0,0.996935079
Investigation took more than 30 days,8291,0,0.997225908
Debt is not yours,6212,0,0.976336124
Was not notified of investigation status or results,5626,0,0.9976893
Personal information incorrect,4679,0,0.996794187
Debt was result of identity theft,3495,0,0.983690987
Didn't receive enough information to verify debt,2543,0,0.972866693
Attempted to collect wrong amount,2458,0.018714402,0.96541904
Credit card company isn't resolving a dispute about a purchase on your statement,2139,0,0.99485741
Deposits and withdrawals,2113,0,0.990061524
Debt was paid,2063,0.027144935,0.961706253
Notification didn't disclose it was an attempt to collect a debt,1624,0,0.997536946
Information is missing that should be on the report,1583,0,0.998104864
Difficulty submitting a dispute or getting information about a dispute over the phone,1582,0,0.994310999
Problem with personal statement of dispute,1580,0,0.996835443
Old information reappears or never goes away,1536,0,0.988932292
Didn't receive notice of right to dispute,1530,0,0.966013072
Public record information inaccurate,1429,0,0.991602519
Company closed your account,1350,0,0.991111111
Problem using a debit or ATM card,1205,0,0.990041494
Frequent or repeated calls,1176,0.017006803,0.959183673
Threatened or suggested your credit would be damaged,1092,0,0.957875458
Transaction was not authorized,1019,0,0.990186457
Overdrafts and overdraft fees,910,0,0.997802198
Problem with fees,905,0,0.992265193
Other problem getting your report or credit score,890,0,0.991011236
Card was charged for something you did not purchase with the card,848,0,0.988207547
Trouble with how payments are being handled,795,0,0.867924528
Problem during payment process,776,0,0.987113402
Received bad information about your loan,760,0,0.928947368
Funds not handled or disbursed as instructed,716,0,0.990223464
Debt is not mine,715,0.206993007,0.932867133
Other problem,706,0,0.991501416
"You told them to stop contacting you, but they keep trying",622,0,0.954983923
Banking errors,596,0,0.984899329
Funds not received from closed account,554,0,0.994584838
Information is not mine,533,0.185741088,0.99249531
Can't close your account,506,0,0.988142292
Billing problem,469,0,0.989339019
Problem accessing account,468,0,0.985042735
Problem with customer service,428,0,0.925233645
Threatened to sue you for very old debt,421,0,0.909738717
Card opened without my consent or knowledge,402,0,0.997512438
Problem canceling credit monitoring or identify theft protection service,400,0,0.995
Card opened as result of identity theft or fraud,399,0,0.994987469
Didn't receive advertised or promotional terms,393,0,0.994910941
Debt was already discharged in bankruptcy and is no longer owed,386,0,0.971502591
Problem making or receiving payments,378,0,0.984126984
Application denied,362,0,0.994475138
Can't use card to make purchases,359,0,0.991643454
